event_id,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations
7663,2016-04-26,1461650400,0.2,-1.9,-1.2,-7.8,-13.0,-10.4,-1.7,96.69,13.89,,100.0,,0.0,0.0,104.8,93.1,205.8,1010.2,99.8,10.5,,,0.0,06:11:49,1461672709,20:09:46,1461722986,0.58,"Snow, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,snow,"['72666524062', 'KWRL', 'KRIW', '72672024061', 'KTBX', '72103600353']"
8620,2012-03-30,1333090800,11.8,4.0,8.6,11.8,0.2,7.2,6.9,89.08,36.77,,100.0,,,,35.3,23.8,176.9,1006.5,83.6,12.0,,,0.0,06:58:35,1333115915,19:40:12,1333161612,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['KCVO', '72693024221', '99999904236', '72694524202', 'KEUG']"
9036,2016-07-16,1468606500,23.1,20.2,22.1,23.1,20.2,22.1,18.8,82.15,26.0,,25.0,,,,,5.4,300.0,,72.5,8.8,,,0.0,05:26:33,1468626093,19:17:07,1468675927,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,['44424099999']
6948,2015-06-22,1434911400,31.1,24.6,27.9,39.3,24.6,32.2,25.0,84.89,19.58,,18.18,,,,,29.5,212.5,1000.3,97.0,2.6,,,0.0,06:00:40,1434933040,19:16:12,1434980772,0.16,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"['43063099999', '43003099999']"
7055,2015-05-19,1432008000,15.7,3.0,7.9,15.7,-2.0,4.9,3.4,73.86,2.55,,4.17,,,,45.7,29.0,284.1,1015.4,37.7,57.4,,,0.0,05:52:02,1432029122,20:48:56,1432082936,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"['CWLS', '71633099999', '71631099999', 'CYVV', '71270099999', 'CWCO']"
3665,2011-06-29,1309302000,16.5,9.4,13.1,16.5,8.1,12.9,8.4,74.91,0.27,,4.17,,,,,21.4,287.5,1024.1,23.6,17.6,,,0.0,05:01:23,1309320083,21:28:22,1309379302,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['03840099999', '03853099999', '03862099999', '03857099999', 'EGDY', '03710099999']"
7589,2015-08-19,1439922600,26.4,24.7,25.5,26.4,24.7,25.6,25.1,97.53,131.7,,75.0,,,,,13.0,120.0,1004.8,100.0,2.3,,,0.0,04:55:29,1439940329,17:52:35,1439986955,0.1,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,['41891099999']
6264,2014-10-12,1413052200,0.0,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,05:46:26,1413072986,17:32:52,1413115372,0.6,,,,
7027,2015-06-25,1435170600,0.0,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,05:14:13,1435189453,19:42:24,1435241544,0.3,,,,
2749,2010-11-25,1290659400,27.0,25.0,25.6,30.6,25.0,26.3,23.8,89.83,0.0,,0.0,,,,,5.4,46.0,,89.2,9.8,,,0.0,05:55:27,1290680727,17:31:11,1290722471,0.58,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"['80415099999', 'SVMI']"
1087,2009-08-16,1250352000,35.4,23.7,27.4,39.3,23.7,28.7,22.6,77.19,0.0,,0.0,,,,,7.2,92.9,1011.1,80.0,12.3,,,0.0,05:30:07,1250371807,18:38:45,1250419125,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['58646099999']
3420,2011-04-26,1303732800,13.4,10.9,11.9,13.4,10.9,11.9,11.0,94.62,88.6,,50.0,,,,,33.5,211.3,1016.5,0.0,4.5,,,0.0,06:50:25,1303757425,17:28:53,1303795733,0.82,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,['93373099999']
3553,2011-05-30,1306735200,12.9,0.5,6.2,12.9,-2.4,3.8,2.7,80.26,22.71,,75.0,,,,48.2,27.8,195.5,1010.0,83.1,14.1,,,0.0,05:57:46,1306756666,20:52:21,1306810341,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['KOGD', '72572024127', 'KHIF', '72575524101', '72575024126', 'KSLC']"
276,2007-09-20,1190221200,30.0,24.1,26.3,35.9,24.1,28.3,24.1,88.21,56.6,,54.55,,,,,11.2,,1007.3,95.5,6.7,,,0.0,06:07:46,1190243266,18:18:03,1190287083,0.28,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['48330099999', '48351099999', '48328099999']"
6303,2009-06-11,1244700000,17.1,10.1,12.5,17.1,10.1,12.6,8.9,79.57,9.19,,58.33,,,,,14.7,158.6,1011.2,86.6,15.0,,,0.0,05:52:10,1244721130,21:01:58,1244775718,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['72479694128', '72575024126', '99999904138']"
4052,2011-11-18,1321603200,16.3,13.6,14.8,16.3,13.6,14.8,10.6,76.2,0.0,,0.0,,,,,10.3,119.5,1014.4,93.3,11.3,,,0.0,06:27:53,1321626473,16:48:36,1321663716,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"['KHHR', '72295023174', '72295603167', 'KLAX', '72297023129', 'KLGB']"
